ID студента,Вопрос №,Вопрос,Эталонный ответ,Ответ студента,Балл
202224303,9,Строительная машина для разработки и перемещения грунта - … .,Б. бульдозер,,0
202224303,6,"… — это площадка с ограждением, которая выступает на фасаде здания.",В. балкон,,0
202224303,3,По назначению здания разделяются на … и гражданские.,А. промышленные,,0
202224303,2,"В состав … входят помещения, конструкции и инженерные системы.",Б. здания,,0
202224303,13,Найдите правильное продолжение предложения «Обычно форма зданий определяет …»,А. их функциональное назначение.,,0
202224303,5,Жилое здание это здание для … .,Б. проживания,,0
202224303,7,"Бетон – это искусственный …, получаемый в результате твердения бетонной смеси.",А. камень,,0
202224303,11,"Найдите правильное продолжение предложения «Кроме того, бульдозер используют при …»",А. строительстве и ремонте дорог.,,0
202224303,10,Выберите верное определение понятию «Балкон»,"А. Площадка с ограждением, которая выступает на фасаде здания.",,0
202224303,15,"Лопата, молоток, электрическая лебёдка – всё это …",Б. инструменты,,0
202224303,14,Найдите правильное продолжение предложения «Цемент и вода являются главными связующими …»,Б. компонентами при производстве бетона.,B.компонентами при производстве бетона.,2
202224303,1,"Здание – это объемная система, имеющая … и надземную части, которая является результатом строительства.",В. подземную,C.подземную,2
202224303,4,"Гражданские здания делятся на …, общественные и жилые.",В. административные,C.административные,1
202224303,8,Естественный цвет бетона - …,Б. серый,B.серый,2
202224303,12,Найдите правильное продолжение предложения «Монтаж остекления возможен для …»,В. всех типов балконов и лоджий.,C.всех типов балконов и лоджий.,2
202224019,13,Найдите правильное продолжение предложения «Обычно форма зданий определяет …»,А. их функциональное назначение.,,0
202224019,14,Найдите правильное продолжение предложения «Цемент и вода являются главными связующими …»,Б. компонентами при производстве бетона.,,0
202224019,3,По назначению здания разделяются на … и гражданские.,А. промышленные,,0
202224019,9,Строительная машина для разработки и перемещения грунта - … .,Б. бульдозер,,0
202224019,8,Естественный цвет бетона - …,Б. серый,,0
202224019,11,"Найдите правильное продолжение предложения «Кроме того, бульдозер используют при …»",А. строительстве и ремонте дорог.,,0
202224019,12,Найдите правильное продолжение предложения «Монтаж остекления возможен для …»,В. всех типов балконов и лоджий.,,0
202224019,6,"… — это площадка с ограждением, которая выступает на фасаде здания.",В. балкон,,0
202224019,4,"Гражданские здания делятся на …, общественные и жилые.",В. административные,,0
202224019,15,"Лопата, молоток, электрическая лебёдка – всё это …",Б. инструменты,,0
202224019,1,"Здание – это объемная система, имеющая … и надземную части, которая является результатом строительства.",В. подземную,C.подземную,1
202224019,2,"В состав … входят помещения, конструкции и инженерные системы.",Б. здания,B.здания,2
202224019,5,Жилое здание это здание для … .,Б. проживания,B.проживания,2
202224019,7,"Бетон – это искусственный …, получаемый в результате твердения бетонной смеси.",А. камень,A.камень,2
202224019,10,Выберите верное определение понятию «Балкон»,"А. Площадка с ограждением, которая выступает на фасаде здания.",A.Площадка с ограждением， которая выступает на фасаде здания.,2
202224120,6,"… — это площадка с ограждением, которая выступает на фасаде здания.",В. балкон,,0
202224120,14,Найдите правильное продолжение предложения «Цемент и вода являются главными связующими …»,Б. компонентами при производстве бетона.,,0
202224120,11,"Найдите правильное продолжение предложения «Кроме того, бульдозер используют при …»",А. строительстве и ремонте дорог.,,0
202224120,9,Строительная машина для разработки и перемещения грунта - … .,Б. бульдозер,,0
202224120,2,"В состав … входят помещения, конструкции и инженерные системы.",Б. здания,,0
202224120,3,По назначению здания разделяются на … и гражданские.,А. промышленные,,0
202224120,8,Естественный цвет бетона - …,Б. серый,,0
202224120,5,Жилое здание это здание для … .,Б. проживания,,0
202224120,13,Найдите правильное продолжение предложения «Обычно форма зданий определяет …»,А. их функциональное назначение.,,0
202224120,15,"Лопата, молоток, электрическая лебёдка – всё это …",Б. инструменты,,0
202224120,1,"Здание – это объемная система, имеющая … и надземную части, которая является результатом строительства.",В. подземную,C.подземную,2
202224120,4,"Гражданские здания делятся на …, общественные и жилые.",В. административные,A.промышленные,1
202224120,12,Найдите правильное продолжение предложения «Монтаж остекления возможен для …»,В. всех типов балконов и лоджий.,C.всех типов балконов и лоджий.,2
202224120,7,"Бетон – это искусственный …, получаемый в результате твердения бетонной смеси.",А. камень,A.камень,2
202224120,10,Выберите верное определение понятию «Балкон»,"А. Площадка с ограждением, которая выступает на фасаде здания.",A.Площадка с ограждением， которая выступает на фасаде здания.,2
202023107,8,Естественный цвет бетона - …,Б. серый,,0
202023107,7,"Бетон – это искусственный …, получаемый в результате твердения бетонной смеси.",А. камень,,0
202023107,2,"В состав … входят помещения, конструкции и инженерные системы.",Б. здания,,0
202023107,10,Выберите верное определение понятию «Балкон»,"А. Площадка с ограждением, которая выступает на фасаде здания.",,0
202023107,5,Жилое здание это здание для … .,Б. проживания,,0
202023107,3,По назначению здания разделяются на … и гражданские.,А. промышленные,,0
202023107,14,Найдите правильное продолжение предложения «Цемент и вода являются главными связующими …»,Б. компонентами при производстве бетона.,,0
202023107,9,Строительная машина для разработки и перемещения грунта - … .,Б. бульдозер,,0
202023107,12,Найдите правильное продолжение предложения «Монтаж остекления возможен для …»,В. всех типов балконов и лоджий.,,0
202023107,11,"Найдите правильное продолжение предложения «Кроме того, бульдозер используют при …»",А. строительстве и ремонте дорог.,,0
202023107,1,"Здание – это объемная система, имеющая … и надземную части, которая является результатом строительства.",В. подземную,C.подземную,1
202023107,4,"Гражданские здания делятся на …, общественные и жилые.",В. административные,B.инженерные,1
202023107,15,"Лопата, молоток, электрическая лебёдка – всё это …",Б. инструменты,B.инструменты,2
202023107,6,"… — это площадка с ограждением, которая выступает на фасаде здания.",В. балкон,C.балкон,2
202023107,13,Найдите правильное продолжение предложения «Обычно форма зданий определяет …»,А. их функциональное назначение.,A.их функциональное назначение.,2
202224011,10,Выберите верное определение понятию «Балкон»,"А. Площадка с ограждением, которая выступает на фасаде здания.",,0
202224011,11,"Найдите правильное продолжение предложения «Кроме того, бульдозер используют при …»",А. строительстве и ремонте дорог.,,0
202224011,6,"… — это площадка с ограждением, которая выступает на фасаде здания.",В. балкон,,0
202224011,1,"Здание – это объемная система, имеющая … и надземную части, которая является результатом строительства.",В. подземную,,0
202224011,14,Найдите правильное продолжение предложения «Цемент и вода являются главными связующими …»,Б. компонентами при производстве бетона.,,0
202224011,9,Строительная машина для разработки и перемещения грунта - … .,Б. бульдозер,,0
202224011,12,Найдите правильное продолжение предложения «Монтаж остекления возможен для …»,В. всех типов балконов и лоджий.,,0
202224011,5,Жилое здание это здание для … .,Б. проживания,,0
202224011,13,Найдите правильное продолжение предложения «Обычно форма зданий определяет …»,А. их функциональное назначение.,,0
202224011,15,"Лопата, молоток, электрическая лебёдка – всё это …",Б. инструменты,,0
202224011,3,По назначению здания разделяются на … и гражданские.,А. промышленные,A.промышленные,2
202224011,4,"Гражданские здания делятся на …, общественные и жилые.",В. административные,A.промышленные,1
202224011,7,"Бетон – это искусственный …, получаемый в результате твердения бетонной смеси.",А. камень,A.камень,2
202224011,8,Естественный цвет бетона - …,Б. серый,B.серый,2
202224011,2,"В состав … входят помещения, конструкции и инженерные системы.",Б. здания,C.здание,1
202224101,4,"Гражданские здания делятся на …, общественные и жилые.",В. административные,,0
202224101,15,"Лопата, молоток, электрическая лебёдка – всё это …",Б. инструменты,,0
202224101,13,Найдите правильное продолжение предложения «Обычно форма зданий определяет …»,А. их функциональное назначение.,,0
202224101,5,Жилое здание это здание для … .,Б. проживания,,0
202224101,3,По назначению здания разделяются на … и гражданские.,А. промышленные,,0
202224101,2,"В состав … входят помещения, конструкции и инженерные системы.",Б. здания,,0
202224101,6,"… — это площадка с ограждением, которая выступает на фасаде здания.",В. балкон,,0
202224101,11,"Найдите правильное продолжение предложения «Кроме того, бульдозер используют при …»",А. строительстве и ремонте дорог.,,0
202224101,12,Найдите правильное продолжение предложения «Монтаж остекления возможен для …»,В. всех типов балконов и лоджий.,,0
202224101,10,Выберите верное определение понятию «Балкон»,"А. Площадка с ограждением, которая выступает на фасаде здания.",,0
202224101,1,"Здание – это объемная система, имеющая … и надземную части, которая является результатом строительства.",В. подземную,C.подземную,2
202224101,7,"Бетон – это искусственный …, получаемый в результате твердения бетонной смеси.",А. камень,A.камень,2
202224101,8,Естественный цвет бетона - …,Б. серый,B.серый,2
202224101,9,Строительная машина для разработки и перемещения грунта - … .,Б. бульдозер,B.бульдозер,2
202224101,14,Найдите правильное продолжение предложения «Цемент и вода являются главными связующими …»,Б. компонентами при производстве бетона.,B.компонентами при производстве бетона.,2
202224003,12,Найдите правильное продолжение предложения «Монтаж остекления возможен для …»,В. всех типов балконов и лоджий.,,0
202224003,1,"Здание – это объемная система, имеющая … и надземную части, которая является результатом строительства.",В. подземную,,0
202224003,7,"Бетон – это искусственный …, получаемый в результате твердения бетонной смеси.",А. камень,,0
202224003,15,"Лопата, молоток, электрическая лебёдка – всё это …",Б. инструменты,,0
202224003,11,"Найдите правильное продолжение предложения «Кроме того, бульдозер используют при …»",А. строительстве и ремонте дорог.,,0
202224003,6,"… — это площадка с ограждением, которая выступает на фасаде здания.",В. балкон,,0
202224003,5,Жилое здание это здание для … .,Б. проживания,,0
202224003,4,"Гражданские здания делятся на …, общественные и жилые.",В. административные,,0
202224003,9,Строительная машина для разработки и перемещения грунта - … .,Б. бульдозер,,0
202224003,13,Найдите правильное продолжение предложения «Обычно форма зданий определяет …»,А. их функциональное назначение.,,0
202224003,3,По назначению здания разделяются на … и гражданские.,А. промышленные,A.промышленные,2
202224003,2,"В состав … входят помещения, конструкции и инженерные системы.",Б. здания,B.здания,2
202224003,8,Естественный цвет бетона - …,Б. серый,B.серый,2
202224003,10,Выберите верное определение понятию «Балкон»,"А. Площадка с ограждением, которая выступает на фасаде здания.",A.Площадка с ограждением， которая выступает на фасаде здания.,2
202224003,14,Найдите правильное продолжение предложения «Цемент и вода являются главными связующими …»,Б. компонентами при производстве бетона.,B.компонентами при производстве бетона.,2
202224320,11,"Найдите правильное продолжение предложения «Кроме того, бульдозер используют при …»",А. строительстве и ремонте дорог.,,0
202224320,12,Найдите правильное продолжение предложения «Монтаж остекления возможен для …»,В. всех типов балконов и лоджий.,,0
202224320,10,Выберите верное определение понятию «Балкон»,"А. Площадка с ограждением, которая выступает на фасаде здания.",,0
202224320,6,"… — это площадка с ограждением, которая выступает на фасаде здания.",В. балкон,,0
202224320,1,"Здание – это объемная система, имеющая … и надземную части, которая является результатом строительства.",В. подземную,,0
202224320,3,По назначению здания разделяются на … и гражданские.,А. промышленные,,0
202224320,2,"В состав … входят помещения, конструкции и инженерные системы.",Б. здания,,0
202224320,8,Естественный цвет бетона - …,Б. серый,,0
202224320,9,Строительная машина для разработки и перемещения грунта - … .,Б. бульдозер,,0
202224320,14,Найдите правильное продолжение предложения «Цемент и вода являются главными связующими …»,Б. компонентами при производстве бетона.,,0
202224320,5,Жилое здание это здание для … .,Б. проживания,C.людей,1
202224320,4,"Гражданские здания делятся на …, общественные и жилые.",В. административные,A.промышленные,1
202224320,13,Найдите правильное продолжение предложения «Обычно форма зданий определяет …»,А. их функциональное назначение.,A.их функциональное назначение.,2
202224320,7,"Бетон – это искусственный …, получаемый в результате твердения бетонной смеси.",А. камень,B.твёрдый,1
202224320,15,"Лопата, молоток, электрическая лебёдка – всё это …",Б. инструменты,B.инструменты,2
202224027,12,Найдите правильное продолжение предложения «Монтаж остекления возможен для …»,В. всех типов балконов и лоджий.,,0
202224027,14,Найдите правильное продолжение предложения «Цемент и вода являются главными связующими …»,Б. компонентами при производстве бетона.,,0
202224027,10,Выберите верное определение понятию «Балкон»,"А. Площадка с ограждением, которая выступает на фасаде здания.",,0
202224027,8,Естественный цвет бетона - …,Б. серый,,0
202224027,3,По назначению здания разделяются на … и гражданские.,А. промышленные,,0
202224027,13,Найдите правильное продолжение предложения «Обычно форма зданий определяет …»,А. их функциональное назначение.,,0
202224027,2,"В состав … входят помещения, конструкции и инженерные системы.",Б. здания,,0
202224027,7,"Бетон – это искусственный …, получаемый в результате твердения бетонной смеси.",А. камень,,0
202224027,11,"Найдите правильное продолжение предложения «Кроме того, бульдозер используют при …»",А. строительстве и ремонте дорог.,,0
202224027,15,"Лопата, молоток, электрическая лебёдка – всё это …",Б. инструменты,,0
202224027,1,"Здание – это объемная система, имеющая … и надземную части, которая является результатом строительства.",В. подземную,C.подземную,2
202224027,9,Строительная машина для разработки и перемещения грунта - … .,Б. бульдозер,B.бульдозер,2
202224027,5,Жилое здание это здание для … .,Б. проживания,B.проживания,2
202224027,6,"… — это площадка с ограждением, которая выступает на фасаде здания.",В. балкон,C.балкон,2
202224027,4,"Гражданские здания делятся на …, общественные и жилые.",В. административные,A.промышленные,1
202224317,8,Естественный цвет бетона - …,Б. серый,,0
202224317,15,"Лопата, молоток, электрическая лебёдка – всё это …",Б. инструменты,,0
202224317,13,Найдите правильное продолжение предложения «Обычно форма зданий определяет …»,А. их функциональное назначение.,,0
202224317,7,"Бетон – это искусственный …, получаемый в результате твердения бетонной смеси.",А. камень,,0
202224317,11,"Найдите правильное продолжение предложения «Кроме того, бульдозер используют при …»",А. строительстве и ремонте дорог.,,0
202224317,9,Строительная машина для разработки и перемещения грунта - … .,Б. бульдозер,,0
202224317,2,"В состав … входят помещения, конструкции и инженерные системы.",Б. здания,,0
202224317,1,"Здание – это объемная система, имеющая … и надземную части, которая является результатом строительства.",В. подземную,,0
202224317,12,Найдите правильное продолжение предложения «Монтаж остекления возможен для …»,В. всех типов балконов и лоджий.,,0
202224317,14,Найдите правильное продолжение предложения «Цемент и вода являются главными связующими …»,Б. компонентами при производстве бетона.,,0
202224317,3,По назначению здания разделяются на … и гражданские.,А. промышленные,A.промышленные,2
202224317,5,Жилое здание это здание для … .,Б. проживания,B.проживания,2
202224317,4,"Гражданские здания делятся на …, общественные и жилые.",В. административные,A.промышленные,1
202224317,10,Выберите верное определение понятию «Балкон»,"А. Площадка с ограждением, которая выступает на фасаде здания.",A.Площадка с ограждением， которая выступает на фасаде здания.,2
202224317,6,"… — это площадка с ограждением, которая выступает на фасаде здания.",В. балкон,C.балкон,2
202224208,14,Найдите правильное продолжение предложения «Цемент и вода являются главными связующими …»,Б. компонентами при производстве бетона.,,0
202224208,12,Найдите правильное продолжение предложения «Монтаж остекления возможен для …»,В. всех типов балконов и лоджий.,,0
202224208,6,"… — это площадка с ограждением, которая выступает на фасаде здания.",В. балкон,,0
202224208,1,"Здание – это объемная система, имеющая … и надземную части, которая является результатом строительства.",В. подземную,,0
202224208,11,"Найдите правильное продолжение предложения «Кроме того, бульдозер используют при …»",А. строительстве и ремонте дорог.,,0
202224208,2,"В состав … входят помещения, конструкции и инженерные системы.",Б. здания,,0
202224208,4,"Гражданские здания делятся на …, общественные и жилые.",В. административные,,0
202224208,5,Жилое здание это здание для … .,Б. проживания,,0
202224208,8,Естественный цвет бетона - …,Б. серый,,0
202224208,10,Выберите верное определение понятию «Балкон»,"А. Площадка с ограждением, которая выступает на фасаде здания.",,0
202224208,3,По назначению здания разделяются на … и гражданские.,А. промышленные,A.промышленные,2
202224208,15,"Лопата, молоток, электрическая лебёдка – всё это …",Б. инструменты,B.инструменты,2
202224208,7,"Бетон – это искусственный …, получаемый в результате твердения бетонной смеси.",А. камень,B.твёрдый,1
202224208,9,Строительная машина для разработки и перемещения грунта - … .,Б. бульдозер,A.экскаватор,1
202224208,13,Найдите правильное продолжение предложения «Обычно форма зданий определяет …»,А. их функциональное назначение.,A.их функциональное назначение.,2
202224122,12,Найдите правильное продолжение предложения «Монтаж остекления возможен для …»,В. всех типов балконов и лоджий.,,0
202224122,10,Выберите верное определение понятию «Балкон»,"А. Площадка с ограждением, которая выступает на фасаде здания.",,0
202224122,4,"Гражданские здания делятся на …, общественные и жилые.",В. административные,,0
202224122,2,"В состав … входят помещения, конструкции и инженерные системы.",Б. здания,,0
202224122,11,"Найдите правильное продолжение предложения «Кроме того, бульдозер используют при …»",А. строительстве и ремонте дорог.,,0
202224122,13,Найдите правильное продолжение предложения «Обычно форма зданий определяет …»,А. их функциональное назначение.,,0
202224122,7,"Бетон – это искусственный …, получаемый в результате твердения бетонной смеси.",А. камень,,0
202224122,1,"Здание – это объемная система, имеющая … и надземную части, которая является результатом строительства.",В. подземную,,0
202224122,15,"Лопата, молоток, электрическая лебёдка – всё это …",Б. инструменты,,0
202224122,14,Найдите правильное продолжение предложения «Цемент и вода являются главными связующими …»,Б. компонентами при производстве бетона.,,0
202224122,3,По назначению здания разделяются на … и гражданские.,А. промышленные,A.промышленные,2
202224122,5,Жилое здание это здание для … .,Б. проживания,B.проживания,2
202224122,9,Строительная машина для разработки и перемещения грунта - … .,Б. бульдозер,A.экскаватор,1
202224122,6,"… — это площадка с ограждением, которая выступает на фасаде здания.",В. балкон,C.балкон,1
202224122,8,Естественный цвет бетона - …,Б. серый,B.серый,2
202224325,13,Найдите правильное продолжение предложения «Обычно форма зданий определяет …»,А. их функциональное назначение.,,0
202224325,7,"Бетон – это искусственный …, получаемый в результате твердения бетонной смеси.",А. камень,,0
202224325,9,Строительная машина для разработки и перемещения грунта - … .,Б. бульдозер,,0
