ID студента,Вопрос №,Вопрос,Эталонный ответ,Ответ студента,Балл
202224705,1,Назовите 2 основных тракта тепловой электростанции.,пароводяной и газовоздушный,,0
202224705,2,Какое оборудование относится к пароводяному тракту ТЭС?,"котел, турбина, подогреватели, деаэраторы, испарители, трубопроводы, насосы",,0
202224705,8,Какие параметры можно найти при расчете тепловой схемы станции?,величины потоков теплоносителя и параметры для выбора оборудования,,0
202224705,7,Дайте расшифровку понятия РТС.,развернутая тепловая схема,,0
202224705,4,По каким признакам можно классифицировать тепломеханическое оборудование ТЭС?,"по трактам, по цехам, по назначению",,0
202224705,5,Какое оборудование обслуживает котлы?,"деаэраторы, трубопроводы, паропроводы, продувочные установки",,0
202224705,3,Перечислите оборудование газовоздушного тракта.,"тягодутьевые машины, золоуловители, газовоздухопроводы, дымососы",Это отношение минимальной ( ночной ) нагрузки к максимальной (дневной ) нагрузки,0
202224705,6,Какое оборудование обслуживает турбины?,"теплообменники, насосы, подогреватели, деаэраторы, баковое хозяйство, трубопроводы",Резервная мощность ТЭС - это дополнительная мощность， которая может быть быстро подключена и использована в случаях， когда основная генерация не может удовлетворить потребность в энергии， например， при внезапном росте нагрузки или отказове части генерации,1
202224601,8,Какие параметры можно найти при расчете тепловой схемы станции?,величины потоков теплоносителя и параметры для выбора оборудования,,0
202224601,6,Какое оборудование обслуживает турбины?,"теплообменники, насосы, подогреватели, деаэраторы, баковое хозяйство, трубопроводы",,0
202224601,2,Какое оборудование относится к пароводяному тракту ТЭС?,"котел, турбина, подогреватели, деаэраторы, испарители, трубопроводы, насосы",,0
202224601,1,Назовите 2 основных тракта тепловой электростанции.,пароводяной и газовоздушный,,0
202224601,3,Перечислите оборудование газовоздушного тракта.,"тягодутьевые машины, золоуловители, газовоздухопроводы, дымососы",,0
202224601,7,Дайте расшифровку понятия РТС.,развернутая тепловая схема,/-суммарная мощность электростанции при номинальной нагрузке ее агрегатов.,1
202224601,4,По каким признакам можно классифицировать тепломеханическое оборудование ТЭС?,"по трактам, по цехам, по назначению",Отношение средней нагрузки к максимальной,1
202224601,5,Какое оборудование обслуживает котлы?,"деаэраторы, трубопроводы, паропроводы, продувочные установки",Рабочая ， установленная ， резервная,1
202224620,4,По каким признакам можно классифицировать тепломеханическое оборудование ТЭС?,"по трактам, по цехам, по назначению",,0
202224620,1,Назовите 2 основных тракта тепловой электростанции.,пароводяной и газовоздушный,,0
202224620,7,Дайте расшифровку понятия РТС.,развернутая тепловая схема,,0
202224620,2,Какое оборудование относится к пароводяному тракту ТЭС?,"котел, турбина, подогреватели, деаэраторы, испарители, трубопроводы, насосы",,0
202224620,6,Какое оборудование обслуживает турбины?,"теплообменники, насосы, подогреватели, деаэраторы, баковое хозяйство, трубопроводы",,0
202224620,3,Перечислите оборудование газовоздушного тракта.,"тягодутьевые машины, золоуловители, газовоздухопроводы, дымососы",Это отношение минимальной ( ночной ) нагрузки к максимальной (дневной ) нагрузки,0
202224620,8,Какие параметры можно найти при расчете тепловой схемы станции?,величины потоков теплоносителя и параметры для выбора оборудования,суммарная мощность работающих агрегатов при фактической максимальной нагрузке в данной период времени.,1
202224620,5,Какое оборудование обслуживает котлы?,"деаэраторы, трубопроводы, паропроводы, продувочные установки",Рабочая ， установленная ， резервная,1
202224701,2,Какое оборудование относится к пароводяному тракту ТЭС?,"котел, турбина, подогреватели, деаэраторы, испарители, трубопроводы, насосы",,0
202224701,8,Какие параметры можно найти при расчете тепловой схемы станции?,величины потоков теплоносителя и параметры для выбора оборудования,,0
202224701,3,Перечислите оборудование газовоздушного тракта.,"тягодутьевые машины, золоуловители, газовоздухопроводы, дымососы",,0
202224701,1,Назовите 2 основных тракта тепловой электростанции.,пароводяной и газовоздушный,,0
202224701,5,Какое оборудование обслуживает котлы?,"деаэраторы, трубопроводы, паропроводы, продувочные установки",,0
202224701,4,По каким признакам можно классифицировать тепломеханическое оборудование ТЭС?,"по трактам, по цехам, по назначению",Фактическое время работы оборудования (например， часы генерации электроэнергии) .   Номинальную мощность энергоблоков (расчётная максимальная производительность) .   Объём произведённой энергии за период (кВт·ч) .,1
202224701,7,Дайте расшифровку понятия РТС.,развернутая тепловая схема,Установленная мощность рассчитывается как сумма номинальных мощностей генераторов， указанных в их технической документации. Например， если ТЭС имеет три турбины по 300 МВт каждая， её установленная мощность составит 900 МВт .,1
202224701,6,Какое оборудование обслуживает турбины?,"теплообменники, насосы, подогреватели, деаэраторы, баковое хозяйство, трубопроводы",Горячий резерв — оборудование готово к запуску за несколько минут (например， турбины в режиме ожидания) .   Холодный резерв — требует времени на подготовку (до нескольких часов).       Ключевая функция — обеспечение надёжности энергосистемы. Например， при внезапном росте спроса на электроэнергию резервные мощности предотвращают перебои в подаче.,1
202224607,1,Назовите 2 основных тракта тепловой электростанции.,пароводяной и газовоздушный,,0
202224607,5,Какое оборудование обслуживает котлы?,"деаэраторы, трубопроводы, паропроводы, продувочные установки",,0
202224607,7,Дайте расшифровку понятия РТС.,развернутая тепловая схема,,0
202224607,2,Какое оборудование относится к пароводяному тракту ТЭС?,"котел, турбина, подогреватели, деаэраторы, испарители, трубопроводы, насосы",,0
202224607,6,Какое оборудование обслуживает турбины?,"теплообменники, насосы, подогреватели, деаэраторы, баковое хозяйство, трубопроводы",Тепло используется на бытовые нужды， на технологические нужды и на отопление и вентиляцию !,1
202224607,4,По каким признакам можно классифицировать тепломеханическое оборудование ТЭС?,"по трактам, по цехам, по назначению",Отношение средней нагрузки к максимальной,1
202224607,3,Перечислите оборудование газовоздушного тракта.,"тягодутьевые машины, золоуловители, газовоздухопроводы, дымососы",Отношение минимальной нагрузки к максимальной за сутки,0
202224607,8,Какие параметры можно найти при расчете тепловой схемы станции?,величины потоков теплоносителя и параметры для выбора оборудования,Тепло используется на бытовые нужды， на технологические нужды и на отопление и вентиляцию !,1
202224606,1,Назовите 2 основных тракта тепловой электростанции.,пароводяной и газовоздушный,,0
202224606,4,По каким признакам можно классифицировать тепломеханическое оборудование ТЭС?,"по трактам, по цехам, по назначению",,0
202224606,7,Дайте расшифровку понятия РТС.,развернутая тепловая схема,,0
202224606,6,Какое оборудование обслуживает турбины?,"теплообменники, насосы, подогреватели, деаэраторы, баковое хозяйство, трубопроводы",,0
202224606,2,Какое оборудование относится к пароводяному тракту ТЭС?,"котел, турбина, подогреватели, деаэраторы, испарители, трубопроводы, насосы",,0
202224606,8,Какие параметры можно найти при расчете тепловой схемы станции?,величины потоков теплоносителя и параметры для выбора оборудования,,0
202224606,3,Перечислите оборудование газовоздушного тракта.,"тягодутьевые машины, золоуловители, газовоздухопроводы, дымососы",Отношение минимальной нагрузки к максимальной за сутки,1
202224606,5,Какое оборудование обслуживает котлы?,"деаэраторы, трубопроводы, паропроводы, продувочные установки",Рабочая ， установленная ， резервная,1
202224616,2,Какое оборудование относится к пароводяному тракту ТЭС?,"котел, турбина, подогреватели, деаэраторы, испарители, трубопроводы, насосы",,0
202224616,8,Какие параметры можно найти при расчете тепловой схемы станции?,величины потоков теплоносителя и параметры для выбора оборудования,,0
202224616,7,Дайте расшифровку понятия РТС.,развернутая тепловая схема,,0
202224616,6,Какое оборудование обслуживает турбины?,"теплообменники, насосы, подогреватели, деаэраторы, баковое хозяйство, трубопроводы",,0
202224616,1,Назовите 2 основных тракта тепловой электростанции.,пароводяной и газовоздушный,,0
202224616,3,Перечислите оборудование газовоздушного тракта.,"тягодутьевые машины, золоуловители, газовоздухопроводы, дымососы",Это отношение минимальной ( ночной ) нагрузки к максимальной (дневной ) нагрузки,0
202224616,4,По каким признакам можно классифицировать тепломеханическое оборудование ТЭС?,"по трактам, по цехам, по назначению",Для определения данного коэффициента нужно знать среднюю нагрузку и максимальную !,1
202224616,5,Какое оборудование обслуживает котлы?,"деаэраторы, трубопроводы, паропроводы, продувочные установки",Рабочая ， установленная ， резервная,1
202224717,6,Какое оборудование обслуживает турбины?,"теплообменники, насосы, подогреватели, деаэраторы, баковое хозяйство, трубопроводы",,0
202224717,5,Какое оборудование обслуживает котлы?,"деаэраторы, трубопроводы, паропроводы, продувочные установки",,0
202224717,7,Дайте расшифровку понятия РТС.,развернутая тепловая схема,,0
202224717,2,Какое оборудование относится к пароводяному тракту ТЭС?,"котел, турбина, подогреватели, деаэраторы, испарители, трубопроводы, насосы",,0
202224717,1,Назовите 2 основных тракта тепловой электростанции.,пароводяной и газовоздушный,,0
202224717,8,Какие параметры можно найти при расчете тепловой схемы станции?,величины потоков теплоносителя и параметры для выбора оборудования,,0
202224717,3,Перечислите оборудование газовоздушного тракта.,"тягодутьевые машины, золоуловители, газовоздухопроводы, дымососы",Отношение минимальной нагрузки к максимальной за сутки,0
202224717,4,По каким признакам можно классифицировать тепломеханическое оборудование ТЭС?,"по трактам, по цехам, по назначению",Отношение средней нагрузки к максимальной,1
202224716,1,Назовите 2 основных тракта тепловой электростанции.,пароводяной и газовоздушный,,0
202224716,7,Дайте расшифровку понятия РТС.,развернутая тепловая схема,,0
202224716,5,Какое оборудование обслуживает котлы?,"деаэраторы, трубопроводы, паропроводы, продувочные установки",,0
202224716,2,Какое оборудование относится к пароводяному тракту ТЭС?,"котел, турбина, подогреватели, деаэраторы, испарители, трубопроводы, насосы",,0
202224716,4,По каким признакам можно классифицировать тепломеханическое оборудование ТЭС?,"по трактам, по цехам, по назначению",Для определения данного коэффициента нужно знать среднюю нагрузку и максимальную !,1
202224716,8,Какие параметры можно найти при расчете тепловой схемы станции?,величины потоков теплоносителя и параметры для выбора оборудования,суммарная мощность работающих агрегатов при фактической максимальной нагрузке в данной период времени.,1
202224716,6,Какое оборудование обслуживает турбины?,"теплообменники, насосы, подогреватели, деаэраторы, баковое хозяйство, трубопроводы",Это разность между установленной и рабочей мощностями,1
202224716,3,Перечислите оборудование газовоздушного тракта.,"тягодутьевые машины, золоуловители, газовоздухопроводы, дымососы",Это отношение минимальной ( ночной ) нагрузки к максимальной (дневной ) нагрузки,0
202224631,3,Перечислите оборудование газовоздушного тракта.,"тягодутьевые машины, золоуловители, газовоздухопроводы, дымососы",,0
202224631,7,Дайте расшифровку понятия РТС.,развернутая тепловая схема,,0
202224631,1,Назовите 2 основных тракта тепловой электростанции.,пароводяной и газовоздушный,,0
202224631,2,Какое оборудование относится к пароводяному тракту ТЭС?,"котел, турбина, подогреватели, деаэраторы, испарители, трубопроводы, насосы",,0
202224631,5,Какое оборудование обслуживает котлы?,"деаэраторы, трубопроводы, паропроводы, продувочные установки",Рабочая ， установленная ， резервная,1
202224631,6,Какое оборудование обслуживает турбины?,"теплообменники, насосы, подогреватели, деаэраторы, баковое хозяйство, трубопроводы",Мощность， готовая к использованию при авариях или пиковых нагрузках,1
202224631,4,По каким признакам можно классифицировать тепломеханическое оборудование ТЭС?,"по трактам, по цехам, по назначению",Фактическую выработку энергии и установленную мощнос,1
202224631,8,Какие параметры можно найти при расчете тепловой схемы станции?,величины потоков теплоносителя и параметры для выбора оборудования,суммарная мощность работающих агрегатов при фактической максимальной нагрузке в данной период времени.,1
202224626,1,Назовите 2 основных тракта тепловой электростанции.,пароводяной и газовоздушный,,0
202224626,2,Какое оборудование относится к пароводяному тракту ТЭС?,"котел, турбина, подогреватели, деаэраторы, испарители, трубопроводы, насосы",,0
202224626,3,Перечислите оборудование газовоздушного тракта.,"тягодутьевые машины, золоуловители, газовоздухопроводы, дымососы",,0
202224626,7,Дайте расшифровку понятия РТС.,развернутая тепловая схема,,0
202224626,4,По каким признакам можно классифицировать тепломеханическое оборудование ТЭС?,"по трактам, по цехам, по назначению",,0
202224626,6,Какое оборудование обслуживает турбины?,"теплообменники, насосы, подогреватели, деаэраторы, баковое хозяйство, трубопроводы",Это разность между установленной и рабочей мощностями !,0
202224626,5,Какое оборудование обслуживает котлы?,"деаэраторы, трубопроводы, паропроводы, продувочные установки",Рабочая ， установленная ， резервная,1
202224626,8,Какие параметры можно найти при расчете тепловой схемы станции?,величины потоков теплоносителя и параметры для выбора оборудования,суммарная мощность работающих агрегатов при фактической максимальной нагрузке в данной период времени.,1
202224707,3,Перечислите оборудование газовоздушного тракта.,"тягодутьевые машины, золоуловители, газовоздухопроводы, дымососы",,0
202224707,1,Назовите 2 основных тракта тепловой электростанции.,пароводяной и газовоздушный,,0
202224707,2,Какое оборудование относится к пароводяному тракту ТЭС?,"котел, турбина, подогреватели, деаэраторы, испарители, трубопроводы, насосы",,0
202224707,5,Какое оборудование обслуживает котлы?,"деаэраторы, трубопроводы, паропроводы, продувочные установки",,0
